Points_0,Points_1,Points_2,Points_Magnitude,STLSolidLabeling,Point ID
0.00624779,0.195739,0.000897187,0.195841,0,394
0.00579045,0.196314,0.00251207,0.196416,0,395
0.00531675,0.191052,0.00332978,0.191155,0,396
0.00567841,0.190047,0.00266663,0.190151,0,397
0.00612192,0.190024,0.00137016,0.190127,0,398
0.0053805,0.189066,0.00322575,0.189171,0,399
0.00192883,0.179993,-0.00594995,0.180102,0,400
0.00248701,0.178772,-0.00573908,0.178881,0,401
0.00160023,0.178083,-0.00604661,0.178193,0,402
0.00379076,0.17824,-0.00497518,0.17835,0,403
-0.00621311,0.195608,0.00121036,0.19571,0,404
-0.00604035,0.195283,0.00189258,0.195385,0,405
-0.00589329,0.195622,0.00231016,0.195724,0,406
-0.00595641,0.194619,0.00214218,0.194722,0,407
0.0062293,0.193676,0.000704555,0.193778,0,408
0.0061086,0.192352,0.00140911,0.192454,0,409
0.0062293,0.191176,0.000704555,0.191279,0,410
0.00563956,0.192204,0.00273787,0.192307,0,411
0.00348457,0.109943,-0.00525464,0.110124,0,412
0.00431355,0.109821,-0.00459856,0.110002,0,413
0.00465786,0.10849,-0.00424945,0.108673,0,414
0.00471473,0.111032,-0.00418627,0.111211,0,415
-0.00538281,0.00719896,-0.00334402,0.00959073,0,416
-0.00521935,0.00650378,-0.00359381,0.00908054,0,417
-0.00537116,0.00605698,-0.00336269,0.00876608,0,418
-0.00487292,0.00625541,-0.00405114,0.00890434,0,419
0.00527417,0.00865817,-0.0033921,0.0106905,0,420
0.00565783,0.00981635,-0.00270412,0.0116483,0,421
0.0061147,0.00990817,-0.00139059,0.0117258,0,422
0.00536188,0.0108827,-0.00325168,0.0125601,0,423
-0.00630238,0.191839,-0.0003831,0.191943,0,424
-0.00626784,0.192557,-0.000762206,0.19266,0,425
-0.00608453,0.192739,-0.0016868,0.192842,0,426
-0.00631096,0.193092,-0.00019619,0.193196,0,427
0.00460399,0.0229181,0.00427371,0.0237634,0,428
0.00413316,0.0238456,0.00473058,0.0246592,0,429
0.003074,0.0238355,0.00547831,0.0246494,0,430
0.00460416,0.0247832,0.00427353,0.0255669,0,431
0.00391454,0.127861,-0.00493898,0.128016,0,432
0.0030987,0.127769,-0.00548773,0.127925,0,433
0.00227885,0.129158,-0.00587571,0.129312,0,434
0.00303039,0.126289,-0.00552575,0.126446,0,435
0.00427046,0.0684887,-0.00456957,0.0687737,0,436
0.00366625,0.0694774,-0.00506719,0.0697583,0,437
0.00426072,0.0709822,-0.00457865,0.0712572,0,438
0.00233011,0.0689612,-0.00580417,0.0692442,0,439
-0.00535461,0.135915,0.0032314,0.136059,0,440
-0.00441258,0.135559,0.00443204,0.135703,0,441
-0.00388847,0.13661,0.00489832,0.136753,0,442
-0.00377033,0.134152,0.00498983,0.134298,0,443
-0.00182837,0.00557182,-0.0060583,0.00843155,0,444
-0.00220671,0.00500118,-0.00593097,0.00806584,0,445
-0.00288414,0.00492489,-0.00563273,0.00801876,0,446
-0.00188132,0.00450684,-0.00604207,0.00776901,0,447
-0.00344246,0.00965151,-0.00529096,0.0115324,0,448
-0.00300413,0.00894763,-0.00555157,0.0109501,0,449
-0.00340655,0.00819588,-0.00531415,0.0103449,0,450
-0.00211744,0.00899551,-0.00594653,0.0109893,0,451
0.00622317,0.00625,-0.000721688,0.00884936,0,452
0.00609634,0.0075,-0.00144338,0.00977234,0,453
0.00622317,0.00875,-0.000721688,0.0107616,0,454
0.00560421,0.0075,-0.00280026,0.00977234,0,455
0.00611377,0.190087,-0.00139338,0.19019,0,456
0.00565507,0.190174,-0.0027092,0.190277,0,457
0.00527235,0.191337,-0.0033944,0.19144,0,458
0.00535561,0.189098,-0.00326146,0.189202,0,459
-0.000371212,0.155989,0.00623891,0.156114,0,460
-0.00188866,0.156393,0.00595774,0.156518,0,461
-0.00280224,0.155493,0.00558652,0.155619,0,462
-0.00243516,0.157697,0.00575602,0.157821,0,463
-0.00500159,0.129711,0.00372212,0.129861,0,464
-0.00509073,0.130927,0.00359923,0.131075,0,465
-0.00581092,0.131233,0.00225903,0.131381,0,466
-0.00417513,0.131836,0.00463015,0.131983,0,467
0.00618263,0.171159,-0.000824941,0.171272,0,468
0.00601526,0.172318,-0.00164988,0.17243,0,469
0.00618263,0.173659,-0.000824941,0.173771,0,470
0.00537224,0.172135,-0.0031693,0.172248,0,471
-0.00504226,0.197111,-0.0038396,0.197213,0,472
-0.00532572,0.19743,-0.00343564,0.197532,0,473
-0.00533827,0.197948,-0.00341611,0.198049,0,474
-0.00556589,0.197232,-0.00303114,0.197334,0,475
-0.00558471,0.193585,-0.00299153,0.193688,0,476
-0.0053565,0.194249,-0.00338321,0.194352,0,477
-0.00502774,0.194399,-0.00385487,0.194502,0,478
-0.00542091,0.194764,-0.00327901,0.194867,0,479
0.00370007,0.0475089,-0.00504615,0.0479192,0,480
0.00239179,0.0475178,-0.00578217,0.047928,0,481
0.00159708,0.0487534,-0.00605008,0.0491533,0,482
0.00174332,0.046291,-0.00600958,0.046712,0,483
-0.00479587,0.00399667,0.00413421,0.00748768,0,484
-0.00434085,0.00393312,0.00460966,0.00745395,0,485
-0.00398907,0.0043893,0.00491725,0.00770441,0,486
-0.00419874,0.00341338,0.00473947,0.00719327,0,487
-0.00583089,0.00571735,-0.00245822,0.0085282,0,488
-0.00607737,0.00582453,-0.00176284,0.00860042,0,489
-0.00619073,0.00654176,-0.00131031,0.00910146,0,490
-0.00614796,0.00521448,-0.0014982,0.00819957,0,491
0.0043642,0.181487,-0.00450484,0.181595,0,492
0.00385932,0.180474,-0.00494423,0.180583,0,493
0.00268271,0.180844,-0.00566946,0.180953,0,494
0.00440918,0.179091,-0.00446082,0.179201,0,495
